model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
cv,"(1, 1)",None,50,1000,5,False,3256.9082,0.0228
cv,"(1, 1)",None,50,1000,5,True,3115.3654,0.0287
cv,"(1, 1)",None,50,1000,9,False,3139.5384,0.0252
cv,"(1, 1)",None,50,1000,9,True,2998.9663,0.0405
cv,"(1, 1)",None,50,1000,13,False,3062.9839,0.0192
cv,"(1, 1)",None,50,1000,13,True,2936.8341,0.0266
cv,"(1, 1)",None,50,5000,5,False,4332.4750,0.0238
cv,"(1, 1)",None,50,5000,5,True,4293.3829,0.0158
cv,"(1, 1)",None,50,5000,9,False,4204.1364,-0.0073
cv,"(1, 1)",None,50,5000,9,True,4166.4947,0.0227
cv,"(1, 1)",None,50,5000,13,False,4140.6432,-0.0005
cv,"(1, 1)",None,50,5000,13,True,4076.3285,0.0001
cv,"(1, 1)",None,100,1000,5,False,3256.9082,0.0228
cv,"(1, 1)",None,100,1000,5,True,3115.3654,0.0287
cv,"(1, 1)",None,100,1000,9,False,3139.5384,0.0252
cv,"(1, 1)",None,100,1000,9,True,2998.9663,0.0405
cv,"(1, 1)",None,100,1000,13,False,3062.9839,0.0192
cv,"(1, 1)",None,100,1000,13,True,2936.8341,0.0266
cv,"(1, 1)",None,100,5000,5,False,4332.4750,0.0238
cv,"(1, 1)",None,100,5000,5,True,4293.3829,0.0158
cv,"(1, 1)",None,100,5000,9,False,4204.1364,-0.0073
cv,"(1, 1)",None,100,5000,9,True,4166.4947,0.0227
cv,"(1, 1)",None,100,5000,13,False,4140.6432,-0.0005
cv,"(1, 1)",None,100,5000,13,True,4076.3285,0.0001
cv,"(1, 1)",english,50,1000,5,False,2533.6320,0.0319
cv,"(1, 1)",english,50,1000,5,True,2420.9486,0.0269
cv,"(1, 1)",english,50,1000,9,False,2472.6114,0.0375
cv,"(1, 1)",english,50,1000,9,True,2359.4214,0.0389
cv,"(1, 1)",english,50,1000,13,False,2395.2039,0.0308
cv,"(1, 1)",english,50,1000,13,True,2274.0237,0.0185
cv,"(1, 1)",english,50,5000,5,False,3514.0125,0.0120
cv,"(1, 1)",english,50,5000,5,True,3488.4383,0.0153
cv,"(1, 1)",english,50,5000,9,False,3431.9429,0.0060
cv,"(1, 1)",english,50,5000,9,True,3414.1846,0.0097
cv,"(1, 1)",english,50,5000,13,False,3373.0665,-0.0029
cv,"(1, 1)",english,50,5000,13,True,3341.7136,0.0069
cv,"(1, 1)",english,100,1000,5,False,2533.6320,0.0319
cv,"(1, 1)",english,100,1000,5,True,2420.9486,0.0269
cv,"(1, 1)",english,100,1000,9,False,2472.6114,0.0375
cv,"(1, 1)",english,100,1000,9,True,2359.4214,0.0389
cv,"(1, 1)",english,100,1000,13,False,2395.2039,0.0308
cv,"(1, 1)",english,100,1000,13,True,2274.0237,0.0185
cv,"(1, 1)",english,100,5000,5,False,3514.0125,0.0120
cv,"(1, 1)",english,100,5000,5,True,3488.4383,0.0153
cv,"(1, 1)",english,100,5000,9,False,3431.9429,0.0060
cv,"(1, 1)",english,100,5000,9,True,3414.1846,0.0097
cv,"(1, 1)",english,100,5000,13,False,3373.0665,-0.0029
cv,"(1, 1)",english,100,5000,13,True,3341.7136,0.0069
cv,"(1, 2)",None,50,1000,5,False,3576.9057,0.0343
cv,"(1, 2)",None,50,1000,5,True,3471.9109,0.0241
cv,"(1, 2)",None,50,1000,9,False,3438.6511,0.0474
cv,"(1, 2)",None,50,1000,9,True,3312.0465,0.0413
cv,"(1, 2)",None,50,1000,13,False,3351.7444,0.0251
cv,"(1, 2)",None,50,1000,13,True,3217.4034,0.0446
cv,"(1, 2)",None,50,5000,5,False,7675.2961,0.0036
cv,"(1, 2)",None,50,5000,5,True,7564.5660,-0.0064
cv,"(1, 2)",None,50,5000,9,False,7478.1658,0.0137
cv,"(1, 2)",None,50,5000,9,True,7368.5583,0.0167
cv,"(1, 2)",None,50,5000,13,False,7340.0225,-0.0125
cv,"(1, 2)",None,50,5000,13,True,7248.1956,0.0075
cv,"(1, 2)",None,100,1000,5,False,3576.9057,0.0343
cv,"(1, 2)",None,100,1000,5,True,3471.9109,0.0241
cv,"(1, 2)",None,100,1000,9,False,3438.6511,0.0474
cv,"(1, 2)",None,100,1000,9,True,3312.0465,0.0413
cv,"(1, 2)",None,100,1000,13,False,3351.7444,0.0251
cv,"(1, 2)",None,100,1000,13,True,3217.4034,0.0446
cv,"(1, 2)",None,100,5000,5,False,7675.2961,0.0036
cv,"(1, 2)",None,100,5000,5,True,7564.5660,-0.0064
cv,"(1, 2)",None,100,5000,9,False,7478.1658,0.0137
cv,"(1, 2)",None,100,5000,9,True,7368.5583,0.0167
cv,"(1, 2)",None,100,5000,13,False,7340.0225,-0.0125
cv,"(1, 2)",None,100,5000,13,True,7248.1956,0.0075
cv,"(1, 2)",english,50,1000,5,False,2746.4167,0.1175
cv,"(1, 2)",english,50,1000,5,True,2641.6248,0.0609
cv,"(1, 2)",english,50,1000,9,False,2638.2762,-0.0608
cv,"(1, 2)",english,50,1000,9,True,2532.7486,0.0546
cv,"(1, 2)",english,50,1000,13,False,2543.5407,0.0199
cv,"(1, 2)",english,50,1000,13,True,2461.8921,0.0233
cv,"(1, 2)",english,50,5000,5,False,6658.8329,0.0094
cv,"(1, 2)",english,50,5000,5,True,6617.8455,-0.0240
cv,"(1, 2)",english,50,5000,9,False,6553.2088,-0.0121
cv,"(1, 2)",english,50,5000,9,True,6508.3183,-0.0028
cv,"(1, 2)",english,50,5000,13,False,6462.4877,-0.0030
cv,"(1, 2)",english,50,5000,13,True,6389.0321,-0.0009
cv,"(1, 2)",english,100,1000,5,False,2746.4167,0.1175
cv,"(1, 2)",english,100,1000,5,True,2641.6248,0.0609
cv,"(1, 2)",english,100,1000,9,False,2638.2762,-0.0608
cv,"(1, 2)",english,100,1000,9,True,2532.7486,0.0546
cv,"(1, 2)",english,100,1000,13,False,2543.5407,0.0199
cv,"(1, 2)",english,100,1000,13,True,2461.8921,0.0233
cv,"(1, 2)",english,100,5000,5,False,6658.8329,0.0094
cv,"(1, 2)",english,100,5000,5,True,6617.8455,-0.0240
cv,"(1, 2)",english,100,5000,9,False,6553.2088,-0.0121
cv,"(1, 2)",english,100,5000,9,True,6508.3183,-0.0028
